2025-12-21 12:56:14 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=0
2025-12-21 12:56:29 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=0
2025-12-21 12:56:29 | ERROR | category_router | categories_tree_page | 카테고리 트리 페이지 오류 | 사용자=1 | 오류=categories/tree.html
2025-12-21 13:24:01 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=0
2025-12-21 13:24:12 | INFO | category_router | create_topic | 주제 생성 API 요청 | 사용자=1 | IP=172.18.0.1
2025-12-21 13:24:12 | INFO | category_service | create_topic | 주제 생성 시도 | 사용자=1 | 이름=건강/의학
2025-12-21 13:24:12 | INFO | category_service | create_topic | 주제 생성 완료 | 주제ID=1 | 사용자=1
2025-12-21 13:24:12 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:24:12 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:24:34 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:24:34 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:28:09 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:28:09 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:28:11 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:28:11 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:42:53 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:42:53 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:43:14 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:43:14 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 13:43:21 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 13:43:21 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 14:00:07 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:00:07 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 14:02:11 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:02:11 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류='app.schemas.category.TopicResponse object' has no attribute 'to_json'
2025-12-21 14:06:09 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:11:25 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:11:44 | INFO | category_router | create_topic | 주제 생성 API 요청 | 사용자=1 | IP=172.18.0.1
2025-12-21 14:11:44 | INFO | category_service | create_topic | 주제 생성 시도 | 사용자=1 | 이름=결혼/사랑
2025-12-21 14:11:44 | INFO | category_service | create_topic | 주제 생성 완료 | 주제ID=2 | 사용자=1
2025-12-21 14:11:44 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=2
2025-12-21 14:12:16 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=2
2025-12-21 14:12:16 | ERROR | category_router | categories_tree_page | 카테고리 트리 페이지 오류 | 사용자=1 | 오류=categories/tree.html
2025-12-21 14:13:32 | INFO | category_router | delete_topic | 주제 삭제 API 요청 | 주제ID=2 | 사용자=1 | IP=172.18.0.1
2025-12-21 14:13:32 | INFO | category_service | delete_topic | 주제 삭제 시도 | 주제ID=2 | 사용자=1
2025-12-21 14:13:32 | INFO | category_service | delete_topic | 주제 삭제 완료 | 주제ID=2
2025-12-21 14:13:32 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:14:18 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:14:18 | ERROR | category_router | categories_tree_page | 카테고리 트리 페이지 오류 | 사용자=1 | 오류=categories/tree.html
2025-12-21 14:38:46 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:38:55 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:38:59 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:51:04 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:51:04 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류=Object of type datetime is not JSON serializable
2025-12-21 14:51:09 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:51:09 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류=Object of type datetime is not JSON serializable
2025-12-21 14:51:23 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
2025-12-21 14:51:23 | ERROR | category_router | categories_page | 카테고리 관리 페이지 오류 | 사용자=1 | 오류=Object of type datetime is not JSON serializable
2025-12-21 14:53:00 | INFO | category_service | get_user_topics | 주제 목록 조회 | 사용자=1 | 개수=1
